Title,Rating,Genre,Cast
Ant-Man and the Wasp: Quantumania,66.0%,"Action, Adventure, Science Fiction","Paul Rudd, Evangeline Lilly, Jonathan Majors, Kathryn Newton, Michelle Pfeiffer, Michael Douglas, Corey Stoll, Bill Murray, William Jackson Harper"
The Pope's Exorcist,74.0%,"Horror, Mystery, Thriller","Russell Crowe, Daniel Zovatto, Alex Essoe, Franco Nero, Peter DeSouza-Feighoney, Laurel Marsden, Cornell John, Ryan O'Grady, Bianca Bardoe"
The Super Mario Bros. Movie,75.0%,"Animation, Adventure, Family, Fantasy, Comedy","Chris Pratt, Charlie Day, Anya Taylor-Joy, Jack Black, Keegan-Michael Key, Seth Rogen, Fred Armisen, Khary Payton, Sebastian Maniscalco"
Guardians of the Galaxy Vol. 3,83.0%,"Science Fiction, Adventure, Action","Chris Pratt, Zoe Saldaña, Bradley Cooper, Dave Bautista, Karen Gillan, Pom Klementieff, Vin Diesel, Sean Gunn, Chukwudi Iwuji"
Evil Dead Rise,72.0%,"Horror, Thriller","Lily Sullivan, Alyssa Sutherland, Morgan Davies, Gabrielle Echols, Nell Fisher, Anna-Maree Thomas, Mirabai Pease, Richard Crouchley, Jayden Daniels"
Ghosted,71.0%,"Action, Comedy, Romance","Chris Evans, Ana de Armas, Adrien Brody, Mike Moh, Amy Sedaris, Tate Donovan, Tim Blake Nelson, Marwan Kenzari, Anna Deavere Smith"
Shazam! Fury of the Gods,68.0%,"Action, Comedy, Fantasy, Adventure","Zachary Levi, Asher Angel, Jack Dylan Grazer, Adam Brody, Grace Caroline Currey, Helen Mirren, Lucy Liu, Rachel Zegler, Meagan Good"
AKA,71.0%,"Thriller, Action, Crime","Alban Lenoir, Éric Cantona, Thibault de Montalembert, Sveva Alviti, Saïdou Camara, Lucille Guillaume, Kevin Layne, Philippe Résimont, Vincent Heneine"
Avatar: The Way of Water,77.0%,"Science Fiction, Adventure, Action","Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet, Cliff Curtis, Joel David Moore, CCH Pounder, Edie Falco"
Creed III,73.0%,"Drama, Action","Michael B. Jordan, Tessa Thompson, Jonathan Majors, Phylicia Rashād, Mila Davis-Kent, Wood Harris, José Benavidez Jr., Florian Munteanu, Selenis Leyva"
Scream VI,73.0%,"Horror, Mystery, Thriller","Melissa Barrera, Jenna Ortega, Jasmin Savoy Brown, Mason Gooding, Roger Jackson, Courteney Cox, Dermot Mulroney, Jack Champion, Josh Segarra"
The Last Kingdom: Seven Kings Must Die,73.0%,"Action, Adventure, History, Drama, War","Alexander Dreymon, Mark Rowley, Arnas Fedaravicius, Harry Gilby, Laurie Davidson, Cavan Clerkin, James Northcote, Elaine Cassidy, Pekka Strang"
Dungeons & Dragons: Honor Among Thieves,75.0%,"Adventure, Fantasy, Comedy","Chris Pine, Michelle Rodriguez, Justice Smith, Sophia Lillis, Hugh Grant, Regé-Jean Page, Daisy Head, Chloe Coleman, Jason Wong"
